variant,epochs,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std
full,15,0.8462462462462461,0.003934105857829975,0.8313329245607649,0.004255611957643675
full,30,0.8736636636636635,0.002273671919695742,0.8611881936047698,0.002753184900689985
no_bn,15,0.8311111111111111,0.004089214671741577,0.815406110961236,0.004481648287880855
no_bn,30,0.8495795795795796,0.0031823331631805458,0.8355619978845065,0.0032874852679221126
no_skip,15,0.8426426426426425,0.0037925918739684927,0.827633118987116,0.0044459572886215775
no_skip,30,0.8706906906906907,0.0032937344344015356,0.8573564523938634,0.003413140268338069
no_topic,15,0.8395495495495495,0.003933532748954064,0.8241350923239578,0.004030893269473437
no_topic,30,0.8623123123123122,0.004175956151703752,0.8490675228074457,0.00473806819032694
