variant,domain,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std
full,hotel-review,0.9266112861644228,0.002417075119991865,0.7416423259690645,0.008356853420577832
full,social-media,0.8153360681603029,0.0060096826436493,0.8103808298371005,0.006447832243400317
no_bn,hotel-review,0.928616442280149,0.0017234728108268546,0.7338031975614263,0.008467841633975117
no_bn,social-media,0.7625118333859262,0.0066551852705403845,0.7541921759062046,0.007349689610202997
no_skip,hotel-review,0.9242050988255514,0.0010446624192959521,0.7428645214657879,0.011223289200922196
no_skip,social-media,0.8117387188387504,0.006602609910398001,0.8081872058920849,0.006666940625515927
no_topic,hotel-review,0.9249498710971068,0.0021436020548691033,0.7468508956242802,0.005508010181981068
no_topic,social-media,0.7933101924897443,0.009000290752257273,0.786373103402107,0.00993816169273808
