variant,metric,diff,t_pvalue,wilcoxon_pvalue
no_topic,accuracy,0.011351351351351124,0.009122816293738557,0.0625
no_topic,macro_f1,0.012120670797324151,0.012195656229785886,0.0625
no_skip,accuracy,0.0029729729729728316,0.21798951427557256,0.3125
no_skip,macro_f1,0.0038317412109064586,0.1526870573207896,0.1875
no_bn,accuracy,0.024084084084083912,0.00011215505580549132,0.0625
no_bn,macro_f1,0.025626195720263256,0.00015991712013496256,0.0625
